S, S, S, S, S, S, S, S, S, S, 
S, S, S, S, S, S, S, S, S, S, 
S, S, S, S, S, S, S, S, S, S, 
S, S, S, S, S, S, S, S, S, S, 
S, S, S, S, S, S, S, S, S, S, 
S, S, S, S, H, S, S, S, H, S, 
S, H, S, S, S, H, S, S, S, S, 
S, S, N, S, S, S, S, S, S, S, 
S, S, S, H, S, N, S, S, S, S, 
H, H, H, H, H, H, H, H, H, H, 
H, H, H, H, H, H, H, H, H, N, 
H, S, N, H, H, H, H, H, H, S, 
H, H, H, H, H, H, H, H, S, S, 
H, H, H, H, H, H, S, S, S, S, 
H, H, S, N, H, H, H, S, S, S, 
H, H, H, H, H, N, H, S, S, S, 
H, S, H, H, H, H, H, S, S, S, 

S, S, S, H, S, S, S, S, S, S, 
S, H, S, H, H, S, S, S, S, S, 
H, H, H, H, S, S, S, N, S, S, 
S, H, H, H, H, S, N, H, S, S, 
H, H, H, H, H, H, S, H, H, S, 
H, H, H, H, H, S, H, N, H, S, 
H, H, H, H, H, H, H, H, H, H, 
H, H, H, H, H, H, H, S, H, S, 
H, H, H, H, H, H, H, H, H, S, 
